episode,title,speakers,date,contents,url,text,logo
11,"Vulnerability Drills: What’s the Intention, Habit, and Impact","Kadi, Omar, Developer Relations Team","Jun 30, 2022",The importance of vulnerability drills in engineering teams.,https://open.spotify.com/episode/0x2iFy0tJjV2s4NSItkMtU," What’s the Intention, Habit, and Impact: In this episode, Kadi and Omar sit down and chat with members of the Developer Relations team at Sonatype to discuss the value in engineering teams doing vulnerability drills. We now live in a world where it's not a matter of if you will get attacked, it’s now a matter of when you will get attacked. So what can you do to protect yourself when that does happen? Learn why this shouldn’t be viewed as an incident response but more as streamlining your operational and engineering levels that need to be in lockstep with one another.",logo-malware.svg

12,Devoxx Poland Recap,"Oleg Šelajev, Ana-Maria Mihalceanu, Brain Vermeer","Jul 15, 2022",Recap of key takeaways from Devoxx Poland.,https://open.spotify.com/episode/1hjEfskScFM75naz87etJk,"After attending the Devoxx Poland Developer Conference in June in Krakow, Kadi and co-host Steve Poole sat down with speakers Oleg Šelajev, Developer Relations at Atomic Jar Inc, Ana-Maria Mihalceanu, Java Champion and Developer Advocate at Redhat, and Brain Vermeer, Java Champion and JUG Leader Netherlands about their key takeaways from the event, trends on cloud adoption, how hot the developer market is right now, and their favorite presentations (hint: they weren’t their own talks!).",logo-w-w-r-r.svg

13,Hacks & Ax: July Update,Ax Sharma,"Aug 03, 2022",A malware update focusing on protestware and ransomware.,https://open.spotify.com/episode/3rwm41UiGRAdr8Wv5eGeh8,"Ax Sharma, a security researcher at Sonatype and tech journalist at large, joins Kadi and Omar for his monthly malware update. Ax breaks down the latest on protestware and ransomware.",logo-malware.svg

14,The Secret Life of Maven Central,Joel Orlina,"Aug 26, 2022",A deep dive into the history and workings of Maven Central.,https://open.spotify.com/episode/09mmzYsscjmwTbxJ5t9zoV," In this episode, Joel Orlina joins Kadi Grigg to provide insights and knowledge on “The Secret Life of Maven Central,” his talk given at Devoxx UK and OpenSFF Day. Joel sheds light on the previously unknown history of Maven Central and how it works under the covers. He also discusses how the Central team addresses critical security risks like dependency confusion and how it responded to security events such as Log4Shell, and most importantly, how you can get involved.",logo-maven.svg
15,Russ Eling Talks Founding OSS Consultants and Open Source Compliance,Russ Eling,"Sep 22, 2022",Russ Eling discusses the open-source compliance world.,https://open.spotify.com/episode/1cbhmYrxmofl6cXWvH77hj," In the latest episode, Russ Eling–Founder and CEO of OSS Consultants–sits down with Kadi Grigg and co-host A.J. Brown to discuss his journey with open source. Tune in to hear valuable lessons learned during his tenure as an Open Source Compliance Officer at General Motors and how that eventually led to the creation of OSS Consultants.",logo-licencing.svg
16,Ted Neward's Philosophy 101,"Ted Neward, Steve Poole","Oct 21, 2022",How philosophy intersects with software development.,https://open.spotify.com/episode/6rrgdR5PdSKUFijyaYrhq9,"What does philosophy have to do with software development? More than you might think! In this episode, hosts Kadi and Omar sit down with Technologist, Ted Neward and Developer Advocate, Steve Poole to discuss how philosophy is at the heart of everything. Ted provides great insight as to how his background has influenced his outlook on software development and why developers should be asking themselves the hard questions. As Ted puts it, “It is the hard questions that are usually the good ones that will lead you to a positive outcome.”",logo-development.svg

21,James McLeod Shares His Journey to FINOS and Beyond,James McLeod,"Nov 21, 2022",James McLeod talks about his open-source journey.,https://open.spotify.com/episode/0Bc8xC72hOYAgTtv67yiqi," This session features open source war stories from James McLeod, Director of Community for FINOS–the Financial Technology vertical of the Linux Foundation. After years in FinTech as a bank software developer, James McLeod now works to create impactful open source technology and communities. He works closely with contributors from the world’s largest investment banks and cloud providers on a daily basis, providing experiences and insights we’re excited to share with our listeners.",logo-finos.svg
22,Fall 2022 Maven Central Updates,"Brian Fox, Joel Orlina, Jason Swank, Lakshmi Mohandas","Dec 02, 2022",Updates on Maven Central and its relationship with Sonatype.,https://open.spotify.com/episode/14dAErxRfzqcvdCY7SUsAo," This session features Brian Fox (CTO and Co-Founder), Joel Orlina (Engineering Manager, Maven), Jason Swank (Director of Engineering, Technical Operations) and Lakshmi Mohandas (Senior Product Manager). Listen in as they discuss Maven Central's relationship with Sonatype, its pain points and how we are addressing them, and the latest updates that make Maven more unified and powerful than before.",logo-maven.svg
23,Demystifying Tech Debt,"Justin Young, Brad Cupit","Dec 16, 2022",A discussion on understanding and managing tech debt.,https://open.spotify.com/episode/7hD8Cuiwaoa0HyxmwuIPeH," In this episode, Kadi sits down with Sonatype’s Director of Product Management, Justin Young, and Engineering Manager, Brad Cupit to discuss all things tech debt. What is it? Can different types be treated the same? How do you quantify it? And more importantly, how do you prioritize it? Tune in and learn how you too can begin to understand your tech debt and begin to tactically manage it.",logo-tech-debt.svg

24,Cross over with the Federal Tech Podcast,Stephen Magill John Gilroy,"Jan 06, 2023",A cross-over episode with the Federal Tech Podcast.,https://open.spotify.com/episode/7LETTCxY63COPNdL37HBhN," When an interview is that good, you need to share it! Sonatype's Dr. Stephen Magill joins Federal Tech host, John Gilroy, for a discussion on how software developers can be assured code they develop is safe. Listen in as they discuss topics that range from how even bespoke code needs new versions and improvements over time to other interesting aspects of software risk, like artifacts.",logo-blue-gray-gold-teal.svg
25,The Struggle With Open Source Licensing,"Filipp Kofman, Adam Such","Jan 20, 2023",Discussing challenges with open-source licensing.,https://open.spotify.com/episode/0mvcfPTUrAe9z88UH2Z5Nk,"In this episode, Kadi and guest co-host, Dariush Griffin, sit down with Filipp Kofman (Partner, Davis Wright Tremaine LLC) and Adam Such (Solutions Architect, Sonatype) to discuss struggles with open source licensing. There’s not always a clear-cut answer on the best way to handle open source licensing, especially when it comes to managing your dependencies. Topics of discussion include ideas from legal and development perspectives, the struggles they face, and best practices for working together to reach mutually beneficial goals.",logo-licencing.svg
26,Learning with Tom Cools,Tom Cools Theresa Mammarella,"Feb 03, 2023",Celebrating World Open Source Day with Tom Cools.,https://open.spotify.com/episode/1iDxrCio4NR7fhl0twpZUz," A day of celebration of the hard work and dedication done in the open source community and an opportunity to come together and share knowledge and experiences. At Wicked Good Development we thank open source maintainers and contributors for their endless pursuit of showcasing the power of open collaboration for the advancement of technology. In this episode, Kadi and guest co-host Theresa Mammarella invite open-source contributor, Tom Cools, to share his journey in the world of open source. Sit back and relax as we talk through why he got involved in the community, what his first project was, and best practices to make projects more accessible for new contributors.",logo-blue4.svg
27,Build Breaking and More with ABN AMRO's Ingmar Vis,Ingmar Vis,"Feb 17, 2023",A conversation about the value of breaking builds.,https://open.spotify.com/episode/12AG8SXCgTOKbpLUBzPU4c, Join Kadi and guest co-host Sola Otudeko for a chat with ABN AMRO’s Ingmar Vis. Listen in as they discuss: The value of breaking builds. Why automation is key for agile development. Lessons he’s learned throughout his open source journey. What pushed him to give back to open source.,logo-t-b-y-black.svg
28,Simon Brown on Visualizing Software Architecture,"Simon Brown, Dann Conn, Sal Kimmich","Mar 03, 2023",Discussion on the C4 software architecture model.,https://open.spotify.com/episode/2kY6pwpV2qyfq4eOqascQX,"When you interview your dream guest, the conversation is wicked good. In this episode, Kadi and co-host Sal Kimmich sit down with Simon Brown–creator of the C4 Software Architecture Model–and Developer Advocate Dann Conn. Topics of conversation include the ins and outs of the C4 model, how having a detailed architecture diagram can make or break you, and more. Tune in as we discuss the intention behind the model, best practices, and how critical it is for technical and non-technical folks alike to understand.",logo-blue-orange-gray-green.svg
29,White House Unveils New National Cybersecurity Strategy,"Jeff Wayman, Brian Fox","Mar 14, 2023",Breaking down the National Cybersecurity Strategy.,https://open.spotify.com/episode/16qFqi4oA27ZVA2pjk4vdv,"On March 2, 2023 the Biden-Harris administration made a historic move with the release of the National Cybersecurity Strategy. This is the first time the US government has taken a stance on product liability with regard to software. In this episode, Jeff Wayman–Conduit of Goodness at Sonatype–takes the mic to speak with Sonatype’s Co-founder and CTO, Brian Fox. Listen in as they break down important details of this historic new strategy, its meaning, and how it impacts you and your organization.",logo-b-w-red-gray.svg
30,JUG aka The Java User Group,"Steve Poole, Frank Greco, Sharat Chander","Mar 28, 2023",A look at the evolution and value of Java User Groups.,https://open.spotify.com/episode/5n2cTqlOhQ82APIcv7fdYa,"In our latest episode, we sit down with Steve Poole (Leader of London JUG | Director, Developer Relations, Sonatype), Frank Greco (Founder of NYJavaSIG | Director, Technology and Strategy, Crossroads Technologies), and Sharat Chander (Sr. Director, Java and Cloud Native Product Management and Developer Relations, Oracle). Java user groups (JUGs) have seen changes over the years due to the growing prominence of Java and a continuously maturing audience. We’ll be revisiting the late 90s/early 2000s when JUGs first started appearing. Listen in for answers to questions like: What was their purpose? What are they now? Why are JUGs a valuable community resource? How has the pandemic changed them?",logo-red-blue-yellow-gray.svg
31,Testcontainers with Oleg Šelajev,Oleg Šelajev,"Apr 11, 2023",Insights into the world of Testcontainers.,https://open.spotify.com/episode/3AagKiI1ieUFCK4bjur4Zq," Ready to take a dive into the world of TestContainers? Join Kadi Grigg and Sonatype Developer Advocate Jamie Coleman as they sit down with the one and only Oleg Šelajev of AtomicJar, Inc., for an episode packed with insights and laughs. Together, they'll delve into the world of Testcontainers and uncover the secrets behind these powerful tools that have revolutionized the testing landscape. From the origin of Testcontainers to the crucial importance of reliability in testing, they'll cover it all and so much more.",logo-w-blue-black-w.svg
32,Java Queens at Devnexus 2023,"Erin Schnable, Emily Jiang, Mary Gygleski, Holly Cummins","Apr 28, 2023",A discussion about making an impact in tech and leadership.,https://open.spotify.com/episode/2Tp5Gx4zGJDP686p6QYuxH,"Java Queens at Devnexus 2023: Prepare for an insightful discussion with Java Champions Erin Schnable, Emily Jiang, Mary Gygleski, and Holly Cummins at Devnexus 2023. They sit down with Kadi Grigg and Theresa Mammarella for an unforgettable conversation about making an impact in the tech community. They cover topics like: Their unique journeys in tech Embracing the mindset of a lifelong learner The power of goal setting for personal growth The essential qualities of a great leader Why conference talks, like this one, fuel their passion and drive.",logo-empower.svg
